Country Name,Country Code,Indicator Name,Year,GDP
China,CHN,GDP (current US$),2010,6087160000000.0
Germany,DEU,GDP (current US$),2010,3417090000000.0
Japan,JPN,GDP (current US$),2010,5700100000000.0
United States,USA,GDP (current US$),2010,14992100000000.0
China,CHN,GDP (current US$),2011,7551500000000.0
Germany,DEU,GDP (current US$),2011,3757700000000.0
Japan,JPN,GDP (current US$),2011,6157460000000.0
United States,USA,GDP (current US$),2011,15542600000000.0
China,CHN,GDP (current US$),2012,8532230000000.0
Germany,DEU,GDP (current US$),2012,3543980000000.0
Japan,JPN,GDP (current US$),2012,6203210000000.0
United States,USA,GDP (current US$),2012,16197000000000.0
China,CHN,GDP (current US$),2012,8532230000000.0
Germany,DEU,GDP (current US$),2012,3543980000000.0
Japan,JPN,GDP (current US$),2012,6203210000000.0
United States,USA,GDP (current US$),2012,16197000000000.0
China,CHN,GDP (current US$),2013,9570410000000.0
Germany,DEU,GDP (current US$),2013,3752510000000.0
Japan,JPN,GDP (current US$),2013,5155720000000.0
United States,USA,GDP (current US$),2013,16784800000000.0
China,CHN,GDP (current US$),2014,10438500000000.0
Germany,DEU,GDP (current US$),2014,3898730000000.0
Japan,JPN,GDP (current US$),2014,4850410000000.0
United States,USA,GDP (current US$),2014,17521700000000.0
China,CHN,GDP (current US$),2015,11015500000000.0
Germany,DEU,GDP (current US$),2015,3381390000000.0
Japan,JPN,GDP (current US$),2015,4389480000000.0
United States,USA,GDP (current US$),2015,18219300000000.0
China,CHN,GDP (current US$),2016,11137900000000.0
Germany,DEU,GDP (current US$),2016,3495160000000.0
Japan,JPN,GDP (current US$),2016,4926670000000.0
United States,USA,GDP (current US$),2016,18707200000000.0
China,CHN,GDP (current US$),2017,12143500000000.0
Germany,DEU,GDP (current US$),2017,3693200000000.0
Japan,JPN,GDP (current US$),2017,4859950000000.0
United States,USA,GDP (current US$),2017,19485400000000.0
China,CHN,GDP (current US$),2018,13608200000000.0
Germany,DEU,GDP (current US$),2018,3996760000000.0
Japan,JPN,GDP (current US$),2018,4970920000000.0
United States,USA,GDP (current US$),2018,20494100000000.0
